EUNIS_2022_Code,Abrasion/disturbance of the substrate on the surface of the seabed,Barrier to species movement,Changes in suspended solids (water clarity),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)",Deoxygenation,Electromagnetic changes,"Emergence regime changes, including tidal level change considerations",Genetic modification & translocation of indigenous species,Global warming (Extreme),Global warming (High),Global warming (Middle),Habitat structure changes - removal of substratum (extraction),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,Introduction of light,Introduction of microbial pathogens,"Introduction of other substances (solid, liquid or gas)",Introduction or spread of invasive non-indigenous species (INIS),Litter,Marine heatwaves (High),Marine heatwaves (Middle),Nutrient enrichment,Ocean Acidification (High),Ocean Acidification (Middle),Organic enrichment,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion",Physical change (to another seabed type),Physical change (to another sediment type),Physical loss (to land or freshwater habitat),Radionuclide contamination,Removal of non-target species,Removal of target species,Salinity decrease,Salinity increase,Sea level rise (Extreme),Sea level rise (High),Sea level rise (Middle),Smothering and siltation rate changes (Heavy),Smothering and siltation rate changes (Light),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC.",Temperature decrease,Temperature increase,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,Underwater noise changes,Visual disturbance,"Water flow (tidal current) changes, including sediment transport considerations",Wave exposure changes
MA1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0
MA12,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0
MA121,3,0,2,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MA1211,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA1212,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MA1213,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA12131,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA12132,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA1214,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA1215,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA122,3,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,3,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1221,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MA1222,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12221,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12222,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1223,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12231,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12232,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12233,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA123,3,0,2,0,0,0,3,0,0,0,0,3,2,1,0,0,3,0,0,0,0,0,0,2,3,3,3,3,0,3,3,3,3,0,0,0,3,2,0,0,2,0,0,0,1,2
MA1231,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,2,2,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MA1232,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MA12321,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MA12322,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MA1233,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
MA1234,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,1,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0
MA1235,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
MA1236,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,1,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0
MA1237,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1238,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2
MA1239,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1
MA123A,2,0,1,0,0,0,2,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,2,3,3,3,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1
MA123B,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0
MA123C,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MA123C1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MA123C2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MA123D,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2
MA123D1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2
MA123D2,2,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,2,3,3,3,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2
MA123E,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,3,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2
MA123E1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,3,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2
MA123E2,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,3,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2
MA123F,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
MA123F1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
MA123F2,2,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,3,3,3,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
MA123G,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA123H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA124,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0
MA1241,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,2,0,2,0,2,0,3,0,3,0,2,0,2,2,3,2,2,2,2,0,0,2,0,0,0,0,0
MA1242,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MA1243,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,2,0,0,0,2,0
MA1244,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
MA12441,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
MA12442,2,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,2,3,3,3,0,2,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MA12443,2,0,1,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1245,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MA1246,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0
MA1247,2,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0
MA1248,2,0,0,0,0,0,2,0,2,0,0,3,0,0,2,0,3,0,3,2,0,0,0,0,3,3,3,3,0,2,2,0,0,3,3,3,2,2,0,0,0,0,0,0,0,0
MA125,3,0,2,0,1,0,3,0,0,0,0,3,0,3,2,0,3,0,0,0,0,0,0,2,3,3,3,3,0,3,3,2,2,0,0,0,3,3,0,2,2,0,0,0,3,2
MA1251,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0
MA1252,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1253,2,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,2,3,3,3,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1254,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2
MA1255,3,0,0,0,1,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,3,3,0,0,0,0,0,3,3,0,2,2,0,0,0,3,0
MA1256,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0
MA1257,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,3,0,2,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA126,2,0,2,0,2,0,2,0,0,0,0,2,2,2,1,0,3,0,0,0,0,0,0,2,1,3,3,3,0,2,2,2,2,0,0,0,2,2,0,0,2,0,0,0,1,0
MA1261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA1262,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12621,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MA12622,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,1,0,3,2,0,0,3,0,3,0,2,2,2,2,3,2,2,2,2,0,2,0,0,0,0,0,0
MA12623,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,1,2,2,0,0,0,2,2,0,1,0,0,0,0,0,0
MA12624,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,1,2,2,0,0,0,2,2,0,1,0,0,0,0,0,0
MA1263,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2,0,3,0,3,0,2,2,2,2,0,0,0,2,2,0,0,2,0,0,0,0,0
MA12631,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0
MA1264,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,3,3,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
MA1265,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,3,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
MA127,2,0,1,0,0,0,2,0,0,0,0,2,0,1,1,0,3,0,0,0,0,0,0,0,1,3,0,3,0,1,1,2,1,0,0,0,2,1,0,1,1,0,0,0,0,0
MA1271,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MA1272,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA1273,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
MA1274,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
MA1275,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MA1276,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
MA12761,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
MA1277,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
MA1278,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
MA1279,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MA127A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA2,2,1,0,0,0,0,2,0,0,0,0,3,3,0,2,0,3,0,0,0,0,0,0,0,2,3,0,3,0,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,2,2
MA22,2,1,0,0,0,0,2,0,0,0,0,3,3,0,2,0,3,0,0,0,0,0,0,0,2,3,0,3,0,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,2,2
MA226,1,1,2,0,1,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,3,0,2,1,3,0,3,3,2,2,0,0,3,0,0,0,0,0,0
MA2261,1,1,2,0,1,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,3,0,2,1,3,0,3,3,2,2,0,0,3,0,0,0,0,0,0
MA227,2,1,0,0,0,0,2,0,0,0,0,3,3,0,2,0,3,0,0,0,0,0,0,0,2,3,0,3,0,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,2,2
