EUNIS_2022_Code,Abrasion/disturbance of the substrate on the surface of the seabed,Barrier to species movement,Changes in suspended solids (water clarity),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)",Deoxygenation,Electromagnetic changes,"Emergence regime changes, including tidal level change considerations",Genetic modification & translocation of indigenous species,Global warming (Extreme),Global warming (High),Global warming (Middle),Habitat structure changes - removal of substratum (extraction),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,Introduction of light,Introduction of microbial pathogens,"Introduction of other substances (solid, liquid or gas)",Introduction or spread of invasive non-indigenous species (INIS),Litter,Marine heatwaves (High),Marine heatwaves (Middle),Nutrient enrichment,Ocean Acidification (High),Ocean Acidification (Middle),Organic enrichment,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion",Physical change (to another seabed type),Physical change (to another sediment type),Physical loss (to land or freshwater habitat),Radionuclide contamination,Removal of non-target species,Removal of target species,Salinity decrease,Salinity increase,Sea level rise (Extreme),Sea level rise (High),Sea level rise (Middle),Smothering and siltation rate changes (Heavy),Smothering and siltation rate changes (Light),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC.",Temperature decrease,Temperature increase,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,Underwater noise changes,Visual disturbance,"Water flow (tidal current) changes, including sediment transport considerations",Wave exposure changes
MA2271,2,1,0,0,0,0,2,0,2,0,0,3,3,0,2,0,3,0,3,2,0,0,0,0,2,3,0,3,0,2,2,0,0,3,3,2,2,2,3,0,0,3,0,0,2,2
MA22711,2,1,0,0,0,0,2,0,0,0,0,3,3,0,2,0,3,0,0,0,0,0,0,0,2,3,3,3,0,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,0,2
MA22712,2,1,0,0,0,0,2,0,0,0,0,3,3,0,2,0,3,0,0,0,0,0,0,0,2,3,3,3,0,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,2,2
MA22713,2,1,0,0,0,0,2,0,0,0,0,3,3,0,2,0,3,0,0,0,0,0,0,0,2,3,3,3,0,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,2,2
MA3,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,1,0,0,0,3,3,2,2,2,0,1,0,0,0,0,0,0
MA32,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,1,0,0,0,3,3,2,2,2,0,1,0,0,0,0,0,0
MA321,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,1,0,0,0,3,3,2,2,2,0,1,0,0,0,0,0,0
MA3211,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0
MA3212,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0
MA4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA42,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA421,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
MA4211,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
MA423,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA4231,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
MA4232,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA42321,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA42322,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA42323,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
MA42324,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA42325,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
MA4233,1,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,2,3,3,3,0,2,2,0,2,0,0,0,2,1,0,2,0,0,0,0,1,0
MA5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA52,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA521,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
MA5211,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
MA522,2,0,3,0,0,0,2,0,0,0,0,3,2,2,2,0,3,0,3,2,2,0,0,2,3,3,3,3,0,3,1,0,2,3,2,2,3,2,3,0,0,0,0,0,2,2
MA5222,2,0,3,0,0,0,2,0,0,0,0,3,2,2,2,0,3,0,3,2,2,0,0,2,3,3,3,3,0,3,1,0,2,3,2,2,3,2,3,0,0,0,0,0,2,2
MA523,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA5231,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA5232,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MA52321,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MA52322,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
MA5233,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MA52331,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MA52332,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MA52333,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MA524,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
MA5241,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
MA52411,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
MA52412,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
MA52413,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
MA525,2,0,1,0,1,0,2,0,3,2,2,2,2,1,2,2,3,0,1,1,0,0,0,0,3,3,3,3,0,2,2,1,2,3,3,2,2,1,2,2,1,2,0,0,2,0
MA5251,2,0,0,0,1,0,2,0,0,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,3,3,3,3,0,2,2,0,1,0,0,0,2,0,2,0,1,2,0,0,2,0
MA5252,1,0,0,0,1,0,2,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,0,2,3,3,3,0,2,2,1,2,0,0,0,2,1,2,2,0,2,0,0,1,0
MA5253,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,1,2,0,0,2,0,0,1,0
MA5254,1,0,1,0,0,0,1,0,3,2,2,2,2,1,1,2,2,0,1,1,0,0,0,0,1,3,3,3,0,1,0,1,1,3,3,2,1,1,2,0,0,2,0,0,0,0
MA5255,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,2,3,0,0,0,0,0,0,0,0,3,3,3,0,1,1,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0
MA6,1,0,1,0,0,0,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,1,2,0,0,2,0,0,2,0
MA62,1,0,1,0,0,0,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,1,2,0,0,2,0,0,2,0
MA622,1,0,1,0,0,0,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,1,2,0,0,2,0,0,2,0
MA6223,1,0,0,0,0,0,1,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,0,1,0,0,2,0,0,1,0
MA6224,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,1,2,0,0,2,0,0,1,0
MA6225,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,1,2,0,0,2,0,0,1,0
MA6226,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
MA6227,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,0,2,0,0,2,0,0,2,0
MA62271,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,0,2,0,0,2,0,0,2,0
MA62272,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,0,2,0,0,2,0,0,2,0
MA62273,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,3,3,3,0,1,1,1,0,0,0,0,1,0,2,0,0,2,0,0,2,0
MA6228,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,3,3,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
MB1,3,1,2,0,2,0,2,0,3,3,3,3,3,3,2,0,3,0,3,3,2,2,0,2,3,3,3,3,0,3,2,3,2,3,3,3,3,2,3,2,2,3,0,0,2,2
MB12,3,1,2,0,2,0,2,0,3,3,3,3,3,3,2,0,3,0,3,3,2,2,0,2,3,3,3,3,0,3,2,3,2,3,3,3,3,2,3,2,2,3,0,0,2,2
MB121,2,0,2,0,1,0,2,0,3,3,3,3,0,2,1,0,3,0,3,3,2,0,0,1,3,3,0,3,0,2,2,2,2,3,3,3,2,2,0,0,2,0,0,0,1,2
MB1211,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,2
MB12111,1,0,1,0,0,0,1,0,3,3,3,0,0,1,0,0,0,0,3,3,0,1,0,1,0,3,0,3,0,2,2,1,1,3,3,3,0,0,0,0,2,0,0,0,1,2
MB12112,1,0,1,0,0,0,1,0,3,3,3,0,0,1,0,0,0,0,3,3,0,0,0,1,0,3,0,3,0,2,2,1,1,3,3,3,0,0,0,0,2,0,0,0,1,2
MB1212,1,0,1,0,0,0,1,0,3,3,3,0,0,1,0,0,0,0,3,3,0,0,0,1,0,3,0,3,0,2,2,1,1,3,3,3,0,0,0,0,2,0,0,0,1,2
MB1213,2,0,2,0,0,0,2,0,3,3,2,0,0,2,1,0,0,0,3,2,0,0,0,1,0,3,0,3,0,2,2,2,2,2,0,0,1,0,0,0,2,0,0,0,0,0
MB1215,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB12151,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB12152,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB12153,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB1216,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB1217,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0
MB12171,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0
MB12172,2,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,2,3,3,3,0,2,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0
MB12173,2,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,3,3,3,3,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
MB1218,2,0,2,0,1,0,2,0,0,0,0,2,0,2,1,0,0,0,0,0,2,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
MB12181,2,0,2,0,1,0,2,0,3,3,2,2,0,2,1,0,0,0,3,2,0,0,0,1,0,3,0,3,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0
MB12182,2,0,2,0,1,0,2,0,3,3,2,2,0,2,1,0,0,0,3,2,0,0,0,1,0,3,0,3,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0
MB1219,2,0,2,0,1,0,2,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
MB12191,2,0,2,0,1,0,2,0,3,3,2,2,0,2,1,0,2,0,3,2,0,0,0,1,0,3,0,3,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0
MB12192,2,0,2,0,1,0,2,0,3,3,2,2,0,2,1,0,0,0,3,2,0,0,0,1,0,3,0,3,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0
MB121A,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB121A1,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB121A2,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB121A3,2,0,2,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB121A4,2,0,2,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB121A5,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0
MB121B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MB121C,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0
MB121D,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
MB121E,2,0,1,0,0,0,1,0,3,3,2,0,0,1,1,0,3,0,3,3,0,0,0,1,0,3,0,3,0,2,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0
MB121F,2,0,2,0,0,0,2,0,3,3,2,0,0,2,1,0,3,0,3,3,0,0,0,1,0,3,0,3,0,2,1,2,2,2,0,0,1,1,0,0,1,0,0,0,0,0
MB121G,2,0,2,0,0,0,2,0,3,3,2,0,0,2,1,0,3,0,3,3,0,0,0,1,0,3,0,3,0,2,2,2,2,2,0,0,2,1,0,0,1,0,0,0,0,0
MB121H,2,0,2,0,0,0,1,0,3,3,2,0,0,1,1,0,3,0,3,3,0,0,0,1,0,3,0,3,0,2,0,1,0,3,2,2,2,1,0,0,2,0,0,0,0,0
MB121J,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0
MB122,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MB1221,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MB12211,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MB123,2,0,2,0,0,0,2,0,3,3,2,0,0,3,1,0,3,0,3,3,0,0,0,2,1,3,3,3,0,2,2,2,2,3,2,2,2,1,0,2,2,0,0,0,2,2
MB1231,2,0,1,0,0,0,1,0,3,3,2,0,0,2,0,0,1,0,3,3,0,0,0,1,0,3,0,3,0,2,2,1,1,3,2,2,1,0,0,1,2,0,0,0,0,0
MB1232,2,0,1,0,0,0,1,0,3,3,2,0,0,2,0,0,1,0,3,3,0,0,0,1,0,3,0,3,0,2,2,1,1,2,0,0,1,0,0,1,2,0,0,0,0,0
MB1233,2,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,3,0,3,0,2,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0
MB1234,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,0,3,0,2,2,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0
MB1235,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,0,3,0,2,2,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0
MB1236,2,0,2,0,0,0,2,0,2,2,2,0,0,2,0,0,3,0,3,2,0,0,0,2,0,3,0,3,0,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0
MB1237,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
MB1238,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2,0,3,0,3,0,2,2,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0
MB1239,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,2,1,0,0,2,0,0,0,0,0
MB12391,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,2,1,0,0,2,0,0,0,0,0
MB12392,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,2,1,0,0,2,0,0,0,0,0
MB12393,2,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,3,0,3,0,2,2,2,2,0,0,0,2,1,0,0,2,0,0,0,0,0
MB123A,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
MB123A1,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,1,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1
MB123A2,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
