Source,Target
Seismic Surveys,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Seismic Surveys,Underwater noise changes
Seismic Surveys,Visual disturbance
Aggregate dredging,Visual disturbance
Aggregate dredging,Introduction or spread of invasive non-indigenous species (INIS)
Aggregate dredging,Removal of non-target species
Aggregate dredging,Habitat structure changes - removal of substratum (extraction)
Aggregate dredging,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Aggregate dredging,Changes in suspended solids (water clarity)
Aggregate dredging,Smothering and siltation rate changes (Heavy)
Aggregate dredging,Smothering and siltation rate changes (Light)
Aggregate dredging,Abrasion/disturbance of the substrate on the surface of the seabed
Aggregate dredging,"Water flow (tidal current) changes, including sediment transport considerations"
Aggregate dredging,"Emergence regime changes, including tidal level change considerations"
Aggregate dredging,Wave exposure changes
Aggregate dredging,Physical change (to another seabed type)
Aggregate dredging,Physical change (to another sediment type)
Aggregate dredging,Litter
Aggregate dredging,Underwater noise changes
Aggregate dredging,Introduction of light
Aggregate dredging,Barrier to species movement
Aggregate dredging,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Aggregate dredging,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Aggregate dredging,Above water noise
Aggregate dredging,Vibration
Aggregate dredging,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Aggregate dredging,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Aggregate dredging,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Demersal trawling,Removal of target species
Traps,Litter
Pelagic fishing (or fishing activities that do not interact with sea bed),Removal of target species
Traps,Visual disturbance
Traps,Introduction or spread of invasive non-indigenous species (INIS)
Traps,Removal of target species
Traps,Removal of non-target species
Traps,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Traps,Abrasion/disturbance of the substrate on the surface of the seabed
Traps,Underwater noise changes
Traps,Introduction of light
Traps,Barrier to species movement
Traps,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Traps,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Traps,Above water noise
Traps,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Traps,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Traps,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Traps,Organic enrichment
Traps,Deoxygenation
Pelagic fishing (or fishing activities that do not interact with sea bed),Visual disturbance
Pelagic fishing (or fishing activities that do not interact with sea bed),Introduction or spread of invasive non-indigenous species (INIS)
Pelagic fishing (or fishing activities that do not interact with sea bed),Removal of non-target species
Pelagic fishing (or fishing activities that do not interact with sea bed),Litter
Pelagic fishing (or fishing activities that do not interact with sea bed),Underwater noise changes
Pelagic fishing (or fishing activities that do not interact with sea bed),Introduction of light
Pelagic fishing (or fishing activities that do not interact with sea bed),Barrier to species movement
Demersal trawling,Removal of non-target species
Pelagic fishing (or fishing activities that do not interact with sea bed),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pelagic fishing (or fishing activities that do not interact with sea bed),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pelagic fishing (or fishing activities that do not interact with sea bed),Above water noise
Pelagic fishing (or fishing activities that do not interact with sea bed),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Pelagic fishing (or fishing activities that do not interact with sea bed),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Demersal seine netting,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Pelagic fishing (or fishing activities that do not interact with sea bed),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Pelagic fishing (or fishing activities that do not interact with sea bed),Organic enrichment
Pelagic fishing (or fishing activities that do not interact with sea bed),Deoxygenation
Hydraulic dredging,Visual disturbance
Hydraulic dredging,Introduction or spread of invasive non-indigenous species (INIS)
Hydraulic dredging,Introduction of microbial pathogens
Hydraulic dredging,Removal of target species
Hydraulic dredging,Removal of non-target species
Hydraulic dredging,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Hydraulic dredging,Changes in suspended solids (water clarity)
Hydraulic dredging,Smothering and siltation rate changes (Light)
Hydraulic dredging,Abrasion/disturbance of the substrate on the surface of the seabed
Hydraulic dredging,Physical change (to another seabed type)
Hydraulic dredging,Physical change (to another sediment type)
Hydraulic dredging,Litter
Hydraulic dredging,Underwater noise changes
Hydraulic dredging,Introduction of light
Hydraulic dredging,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Dredging (shellfish),Changes in suspended solids (water clarity)
Hydraulic dredging,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Hydraulic dredging,Above water noise
Hydraulic dredging,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Hydraulic dredging,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Hydraulic dredging,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Hydraulic dredging,Nutrient enrichment
Hydraulic dredging,Organic enrichment
Hydraulic dredging,Deoxygenation
Dredging (shellfish),Visual disturbance
Dredging (shellfish),Introduction or spread of invasive non-indigenous species (INIS)
Dredging (shellfish),Introduction of microbial pathogens
Dredging (shellfish),Removal of target species
Dredging (shellfish),Removal of non-target species
Dredging (shellfish),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Dredging (shellfish),Smothering and siltation rate changes (Light)
Dredging (shellfish),Abrasion/disturbance of the substrate on the surface of the seabed
Dredging (shellfish),Physical change (to another seabed type)
Dredging (shellfish),Physical change (to another sediment type)
Dredging (shellfish),Litter
Dredging (shellfish),Underwater noise changes
Dredging (shellfish),Introduction of light
Dredging (shellfish),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Dredging (shellfish),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Dredging (shellfish),Above water noise
Dredging (shellfish),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Demersal trawling,Introduction or spread of invasive non-indigenous species (INIS)
Dredging (shellfish),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Dredging (shellfish),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Dredging (shellfish),Nutrient enrichment
Dredging (shellfish),Organic enrichment
Dredging (shellfish),Deoxygenation
Demersal trawling,Visual disturbance
Demersal trawling,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Demersal trawling,Changes in suspended solids (water clarity)
Demersal trawling,Smothering and siltation rate changes (Light)
Demersal trawling,Abrasion/disturbance of the substrate on the surface of the seabed
Demersal trawling,Physical change (to another seabed type)
Demersal trawling,Physical change (to another sediment type)
Demersal trawling,Litter
Demersal trawling,Underwater noise changes
Demersal trawling,Introduction of light
Demersal trawling,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Demersal trawling,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Demersal trawling,Above water noise
Demersal trawling,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Demersal trawling,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Demersal trawling,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Demersal trawling,Nutrient enrichment
Demersal trawling,Organic enrichment
Demersal trawling,Deoxygenation
Demersal seine netting,Visual disturbance
Demersal seine netting,Introduction or spread of invasive non-indigenous species (INIS)
Demersal seine netting,Removal of target species
Demersal seine netting,Removal of non-target species
Demersal seine netting,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Demersal seine netting,Changes in suspended solids (water clarity)
Demersal seine netting,Smothering and siltation rate changes (Light)
Demersal seine netting,Abrasion/disturbance of the substrate on the surface of the seabed
Demersal seine netting,Physical change (to another seabed type)
Demersal seine netting,Physical change (to another sediment type)
Demersal seine netting,Litter
Demersal seine netting,Underwater noise changes
Demersal seine netting,Introduction of light
Demersal seine netting,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Demersal seine netting,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Demersal seine netting,Above water noise
Demersal seine netting,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Demersal seine netting,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Demersal seine netting,Nutrient enrichment
Demersal seine netting,Organic enrichment
Demersal seine netting,Deoxygenation
Anchorage and moorings: Construction,Changes in suspended solids (water clarity)
Anchorage and moorings: Construction,Visual disturbance
Anchorage and moorings: Construction,Introduction or spread of invasive non-indigenous species (INIS)
Anchorage and moorings: Construction,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Anchorage and moorings: Construction,Smothering and siltation rate changes (Light)
Anchorage and moorings: Construction,Abrasion/disturbance of the substrate on the surface of the seabed
Anchorage and moorings: Construction,"Water flow (tidal current) changes, including sediment transport considerations"
Anchorage and moorings: Construction,Physical loss (to land or freshwater habitat)
Anchorage and moorings: Construction,Physical change (to another seabed type)
Outfalls/Intake pipes (maintenance/construction/usage),Introduction of microbial pathogens
Anchorage and moorings: Construction,Physical change (to another sediment type)
Anchorage and moorings: Construction,Underwater noise changes
Anchorage and moorings: Construction,Introduction of light
Anchorage and moorings: Construction,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Vessel discharges/emissions,Introduction of light
Anchorage and moorings: Construction,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Anchorage and moorings: Construction,Above water noise
Anchorage and moorings: Construction,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel anchorages,"Introduction of other substances (solid, liquid or gas)"
Vessel discharges/emissions,Visual disturbance
Vessel discharges/emissions,Introduction or spread of invasive non-indigenous species (INIS)
Vessel discharges/emissions,Litter
Vessel discharges/emissions,Above water noise
Vessel discharges/emissions,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel discharges/emissions,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Vessel discharges/emissions,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Vessel discharges/emissions,"Introduction of other substances (solid, liquid or gas)"
Vessel discharges/emissions,Nutrient enrichment
Vessel discharges/emissions,Organic enrichment
Vessel discharges/emissions,Deoxygenation
Vessel moorings,Visual disturbance
Vessel moorings,Introduction or spread of invasive non-indigenous species (INIS)
Vessel moorings,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Vessel moorings,Abrasion/disturbance of the substrate on the surface of the seabed
Vessel moorings,Physical loss (to land or freshwater habitat)
Vessel moorings,Physical change (to another seabed type)
Outfalls/Intake pipes (maintenance/construction/usage),Habitat structure changes - removal of substratum (extraction)
Outfalls/Intake pipes (maintenance/construction/usage),Physical change (to another seabed type)
Outfalls/Intake pipes (maintenance/construction/usage),Physical change (to another sediment type)
Outfalls/Intake pipes (maintenance/construction/usage),Visual disturbance
Outfalls/Intake pipes (maintenance/construction/usage),Genetic modification & translocation of indigenous species
Outfalls/Intake pipes (maintenance/construction/usage),Introduction or spread of invasive non-indigenous species (INIS)
Outfalls/Intake pipes (maintenance/construction/usage),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Outfalls/Intake pipes (maintenance/construction/usage),Changes in suspended solids (water clarity)
Outfalls/Intake pipes (maintenance/construction/usage),Smothering and siltation rate changes (Heavy)
Outfalls/Intake pipes (maintenance/construction/usage),Smothering and siltation rate changes (Light)
Outfalls/Intake pipes (maintenance/construction/usage),Abrasion/disturbance of the substrate on the surface of the seabed
Outfalls/Intake pipes (maintenance/construction/usage),Temperature decrease
Outfalls/Intake pipes (maintenance/construction/usage),Temperature increase
Outfalls/Intake pipes (maintenance/construction/usage),Salinity decrease
Outfalls/Intake pipes (maintenance/construction/usage),Salinity increase
Outfalls/Intake pipes (maintenance/construction/usage),"Water flow (tidal current) changes, including sediment transport considerations"
Outfalls/Intake pipes (maintenance/construction/usage),Wave exposure changes
Outfalls/Intake pipes (maintenance/construction/usage),Physical loss (to land or freshwater habitat)
Outfalls/Intake pipes (maintenance/construction/usage),Litter
Outfalls/Intake pipes (maintenance/construction/usage),Underwater noise changes
Outfalls/Intake pipes (maintenance/construction/usage),Introduction of light
Outfalls/Intake pipes (maintenance/construction/usage),Barrier to species movement
Outfalls/Intake pipes (maintenance/construction/usage),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Outfalls/Intake pipes (maintenance/construction/usage),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Outfalls/Intake pipes (maintenance/construction/usage),Above water noise
Outfalls/Intake pipes (maintenance/construction/usage),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Outfalls/Intake pipes (maintenance/construction/usage),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Outfalls/Intake pipes (maintenance/construction/usage),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Outfalls/Intake pipes (maintenance/construction/usage),"Introduction of other substances (solid, liquid or gas)"
Outfalls/Intake pipes (maintenance/construction/usage),Radionuclide contamination
Outfalls/Intake pipes (maintenance/construction/usage),Nutrient enrichment
Outfalls/Intake pipes (maintenance/construction/usage),Organic enrichment
Outfalls/Intake pipes (maintenance/construction/usage),Deoxygenation
Oil and gas infrastructure: Decommissioning,Visual disturbance
Oil and gas infrastructure: Decommissioning,Introduction or spread of invasive non-indigenous species (INIS)
Oil and gas infrastructure: Decommissioning,Habitat structure changes - removal of substratum (extraction)
Oil and gas infrastructure: Decommissioning,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Oil and gas infrastructure: Decommissioning,Changes in suspended solids (water clarity)
Oil and gas infrastructure: Decommissioning,Smothering and siltation rate changes (Light)
Oil and gas infrastructure: Decommissioning,Abrasion/disturbance of the substrate on the surface of the seabed
Oil and gas infrastructure: Decommissioning,"Water flow (tidal current) changes, including sediment transport considerations"
Oil and gas infrastructure: Decommissioning,Physical change (to another seabed type)
Oil and gas infrastructure: Decommissioning,Physical change (to another sediment type)
Oil and gas infrastructure: Decommissioning,Litter
Oil and gas infrastructure: Decommissioning,Underwater noise changes
Oil and gas infrastructure: Decommissioning,Introduction of light
Oil and gas infrastructure: Decommissioning,Barrier to species movement
Oil and gas infrastructure: Decommissioning,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil and gas infrastructure: Decommissioning,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pipelines,Physical change (to another seabed type)
Oil and gas infrastructure: Decommissioning,Above water noise
Oil and gas infrastructure: Decommissioning,Vibration
Oil and gas infrastructure: Decommissioning,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil and gas infrastructure: Decommissioning,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Pipelines,Physical change (to another sediment type)
Pipelines,Litter
Oil and gas infrastructure: Decommissioning,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Oil and gas infrastructure: Decommissioning,"Introduction of other substances (solid, liquid or gas)"
Pipelines,Visual disturbance
Pipelines,Introduction or spread of invasive non-indigenous species (INIS)
Pipelines,Habitat structure changes - removal of substratum (extraction)
Pipelines,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Pipelines,Smothering and siltation rate changes (Light)
Pipelines,Abrasion/disturbance of the substrate on the surface of the seabed
Pipelines,"Water flow (tidal current) changes, including sediment transport considerations"
Pipelines,Physical loss (to land or freshwater habitat)
Pipelines,Underwater noise changes
Pipelines,Introduction of light
Pipelines,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pipelines,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pipelines,Above water noise
Pipelines,Vibration
Pipelines,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Pipelines,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Pipelines,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Pipelines,"Introduction of other substances (solid, liquid or gas)"
Pipelines,Nutrient enrichment
Pipelines,Deoxygenation
"Power cable: Laying, burial and protection",Visual disturbance
"Power cable: Laying, burial and protection",Introduction or spread of invasive non-indigenous species (INIS)
"Power cable: Laying, burial and protection",Above water noise
"Power cable: Laying, burial and protection",Habitat structure changes - removal of substratum (extraction)
"Power cable: Laying, burial and protection","Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
"Power cable: Laying, burial and protection",Changes in suspended solids (water clarity)
"Power cable: Laying, burial and protection",Smothering and siltation rate changes (Heavy)
"Power cable: Laying, burial and protection",Smothering and siltation rate changes (Light)
"Power cable: Laying, burial and protection",Abrasion/disturbance of the substrate on the surface of the seabed
"Power cable: Laying, burial and protection","Water flow (tidal current) changes, including sediment transport considerations"
"Power cable: Laying, burial and protection",Physical loss (to land or freshwater habitat)
"Power cable: Laying, burial and protection",Physical change (to another seabed type)
"Power cable: Laying, burial and protection",Physical change (to another sediment type)
"Power cable: Laying, burial and protection",Litter
"Power cable: Laying, burial and protection",Underwater noise changes
"Power cable: Laying, burial and protection",Introduction of light
"Power cable: Laying, burial and protection","Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
"Power cable: Laying, burial and protection","Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
"Power cable: Laying, burial and protection",Vibration
"Power cable: Laying, burial and protection",Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
"Power cable: Laying, burial and protection",Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
"Power cable: Laying, burial and protection","Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
"Power cable: Laying, burial and protection",Nutrient enrichment
"Power cable: Laying, burial and protection",Deoxygenation
Power cable: Operation and maintenance,Visual disturbance
Power cable: Operation and maintenance,Introduction or spread of invasive non-indigenous species (INIS)
Power cable: Operation and maintenance,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Power cable: Operation and maintenance,Changes in suspended solids (water clarity)
Power cable: Operation and maintenance,Smothering and siltation rate changes (Light)
Power cable: Operation and maintenance,Abrasion/disturbance of the substrate on the surface of the seabed
Power cable: Operation and maintenance,Temperature decrease
Power cable: Operation and maintenance,Temperature increase
Power cable: Operation and maintenance,"Water flow (tidal current) changes, including sediment transport considerations"
Power cable: Operation and maintenance,Physical loss (to land or freshwater habitat)
Power cable: Operation and maintenance,Physical change (to another seabed type)
Power cable: Operation and maintenance,Physical change (to another sediment type)
Power cable: Operation and maintenance,Litter
Power cable: Operation and maintenance,Electromagnetic changes
Power cable: Operation and maintenance,Underwater noise changes
Power cable: Operation and maintenance,Introduction of light
Power cable: Operation and maintenance,Barrier to species movement
Power cable: Operation and maintenance,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Power cable: Operation and maintenance,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Power cable: Operation and maintenance,Above water noise
Power cable: Operation and maintenance,Vibration
Power cable: Operation and maintenance,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Power cable: Operation and maintenance,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Power cable: Operation and maintenance,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Power cable: Operation and maintenance,Nutrient enrichment
Power cable: Operation and maintenance,Deoxygenation
Power cable: Decommissioning,Visual disturbance
Power cable: Decommissioning,Introduction or spread of invasive non-indigenous species (INIS)
Power cable: Decommissioning,Habitat structure changes - removal of substratum (extraction)
Power cable: Decommissioning,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Power cable: Decommissioning,Underwater noise changes
Power cable: Decommissioning,Changes in suspended solids (water clarity)
Power cable: Decommissioning,Smothering and siltation rate changes (Light)
Power cable: Decommissioning,Abrasion/disturbance of the substrate on the surface of the seabed
Power cable: Decommissioning,"Water flow (tidal current) changes, including sediment transport considerations"
Power cable: Decommissioning,Physical change (to another seabed type)
Power cable: Decommissioning,Physical change (to another sediment type)
Power cable: Decommissioning,Litter
Power cable: Decommissioning,Introduction of light
Power cable: Decommissioning,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Power cable: Decommissioning,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Power cable: Decommissioning,Above water noise
Power cable: Decommissioning,Vibration
Power cable: Decommissioning,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Power cable: Decommissioning,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Power cable: Decommissioning,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Power cable: Decommissioning,Nutrient enrichment
Power cable: Decommissioning,Deoxygenation
"Telecommunication cable: Laying, burial and protection",Visual disturbance
"Telecommunication cable: Laying, burial and protection",Introduction or spread of invasive non-indigenous species (INIS)
"Telecommunication cable: Laying, burial and protection","Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
"Telecommunication cable: Laying, burial and protection",Changes in suspended solids (water clarity)
"Telecommunication cable: Laying, burial and protection",Smothering and siltation rate changes (Light)
"Telecommunication cable: Laying, burial and protection",Abrasion/disturbance of the substrate on the surface of the seabed
"Telecommunication cable: Laying, burial and protection","Water flow (tidal current) changes, including sediment transport considerations"
"Telecommunication cable: Laying, burial and protection",Physical loss (to land or freshwater habitat)
"Telecommunication cable: Laying, burial and protection",Physical change (to another seabed type)
"Telecommunication cable: Laying, burial and protection",Physical change (to another sediment type)
Capital dredging,Habitat structure changes - removal of substratum (extraction)
"Telecommunication cable: Laying, burial and protection",Litter
